{'auditorium': 'Auditorium 1', 'description': 'Reserved seating, Recliner Seats, PRIME 3D at AMC', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B18', 'B17', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A14', 'A13', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-07 07:14:05.254361', {'R': [], 'U': []}]
['2018-07-07 07:14:59.644528', {'R': [], 'U': []}]
['2018-07-07 07:35:39.719599', {'R': [], 'U': []}]
['2018-07-07 07:36:27.253968', {'R': [], 'U': []}]
['2018-07-07 07:58:16.735346', {'R': [], 'U': []}]
['2018-07-07 07:58:35.841727', {'R': [], 'U': []}]
['2018-07-07 08:19:35.770431', {'R': [], 'U': []}]
['2018-07-07 08:19:43.039944', {'R': [], 'U': []}]
['2018-07-07 08:39:45.212243', {'R': [], 'U': []}]
['2018-07-07 08:41:14.198801', {'R': [], 'U': []}]
['2018-07-07 09:00:59.087656', {'R': [], 'U': []}]
['2018-07-07 09:02:14.304478', {'R': [], 'U': []}]
['2018-07-07 09:23:51.054987', {'R': [], 'U': []}]
['2018-07-07 09:24:33.045530', {'R': [], 'U': []}]
['2018-07-07 09:45:39.342741', {'R': [], 'U': []}]
['2018-07-07 10:07:55.515428', {'R': [], 'U': []}]
['2018-07-07 10:08:36.400429', {'R': [], 'U': []}]
['2018-07-07 10:29:18.280260', {'R': [], 'U': []}]
['2018-07-07 10:29:48.996061', {'R': [], 'U': []}]
['2018-07-07 10:52:13.049540', {'R': [], 'U': []}]
['2018-07-07 10:52:49.047837', {'R': [], 'U': []}]
['2018-07-07 11:54:37.930491', {'R': [], 'U': []}]
['2018-07-07 12:26:59.472130', {'R': [], 'U': []}]
['2018-07-07 12:49:55.772465', {'R': [], 'U': []}]
['2018-07-07 13:13:03.464890', {'R': [], 'U': []}]
['2018-07-07 13:34:36.272417', {'R': [], 'U': []}]
['2018-07-07 13:57:43.336396', {'R': [], 'U': []}]
['2018-07-07 14:19:49.327043', {'R': [], 'U': []}]
['2018-07-07 14:46:14.560033', {'R': [], 'U': []}]
['2018-07-07 14:58:32.885916', {'R': [], 'U': []}]
['2018-07-07 15:14:46.202689', {'R': [], 'U': []}]
